/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Skipping layer-0 because train results already exist.
Skipping layer-8 because train results already exist.
Skipping layer-16 because train results already exist.
Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:23<00:00,  7.98s/it]
RANK-0 training started !
/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:05<00:00,  1.85s/it]
  0%|                                                                                                                                                               | 0/8 [00:00<?, ?it/s]/pfs/rl-train/wenhaoli/spotlight/train.py:332: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  length = torch.tensor(length, dtype=torch.int64, device=local_rank)
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 8/8 [00:41<00:00,  5.21s/it]
layer:    24 | step:    81 | loss: 0.193 | iou: 0.351
layer:    24 | step:    82 | loss: 0.268 | iou: 0.269
layer:    24 | step:    83 | loss: 0.189 | iou: 0.288
layer:    24 | step:    84 | loss: 0.220 | iou: 0.299
layer:    24 | step:    85 | loss: 0.205 | iou: 0.366
layer:    24 | step:    86 | loss: 0.211 | iou: 0.300
layer:    24 | step:    87 | loss: 0.271 | iou: 0.240
layer:    24 | step:    88 | loss: 0.251 | iou: 0.275
layer:    24 | step:    89 | loss: 0.194 | iou: 0.293
layer:    24 | step:    90 | loss: 0.221 | iou: 0.299
layer:    24 | step:    91 | loss: 0.191 | iou: 0.359
layer:    24 | step:    92 | loss: 0.235 | iou: 0.276
layer:    24 | step:    93 | loss: 0.196 | iou: 0.320
layer:    24 | step:    94 | loss: 0.196 | iou: 0.294
layer:    24 | step:    95 | loss: 0.265 | iou: 0.313
layer:    24 | step:    96 | loss: 0.186 | iou: 0.376
layer:    24 | step:    97 | loss: 0.171 | iou: 0.326
layer:    24 | step:    98 | loss: 0.180 | iou: 0.304
layer:    24 | step:    99 | loss: 0.256 | iou: 0.288
layer:    24 | step:   100 | loss: 0.269 | iou: 0.246
layer:    24 | step:   101 | loss: 0.203 | iou: 0.324
layer:    24 | step:   102 | loss: 0.192 | iou: 0.277
layer:    24 | step:   103 | loss: 0.187 | iou: 0.332
layer:    24 | step:   104 | loss: 0.193 | iou: 0.340
layer:    24 | step:   105 | loss: 0.170 | iou: 0.371
layer:    24 | step:   106 | loss: 0.177 | iou: 0.335
layer:    24 | step:   107 | loss: 0.248 | iou: 0.258
layer:    24 | step:   108 | loss: 0.206 | iou: 0.313
layer:    24 | step:   109 | loss: 0.168 | iou: 0.371
layer:    24 | step:   110 | loss: 0.226 | iou: 0.259
layer:    24 | step:   111 | loss: 0.204 | iou: 0.266
layer:    24 | step:   112 | loss: 0.188 | iou: 0.342
layer:    24 | step:   113 | loss: 0.208 | iou: 0.324
layer:    24 | step:   114 | loss: 0.177 | iou: 0.324
layer:    24 | step:   115 | loss: 0.189 | iou: 0.319
layer:    24 | step:   116 | loss: 0.188 | iou: 0.313
layer:    24 | step:   117 | loss: 0.234 | iou: 0.276
layer:    24 | step:   118 | loss: 0.185 | iou: 0.339
layer:    24 | step:   119 | loss: 0.207 | iou: 0.290
layer:    24 | step:   120 | loss: 0.180 | iou: 0.341
layer:    24 | step:   121 | loss: 0.178 | iou: 0.308
layer:    24 | step:   122 | loss: 0.167 | iou: 0.332
layer:    24 | step:   123 | loss: 0.200 | iou: 0.281
layer:    24 | step:   124 | loss: 0.194 | iou: 0.298
layer:    24 | step:   125 | loss: 0.169 | iou: 0.405
layer:    24 | step:   126 | loss: 0.141 | iou: 0.385
layer:    24 | step:   127 | loss: 0.167 | iou: 0.371
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 8/8 [00:41<00:00,  5.17s/it]
layer:    24 | step:   128 | loss: 0.240 | iou: 0.287
layer:    24 | step:   129 | loss: 0.226 | iou: 0.302
layer:    24 | step:   130 | loss: 0.177 | iou: 0.358
layer:    24 | step:   131 | loss: 0.191 | iou: 0.336
layer:    24 | step:   132 | loss: 0.173 | iou: 0.336
layer:    24 | step:   133 | loss: 0.177 | iou: 0.336
layer:    24 | step:   134 | loss: 0.204 | iou: 0.310
layer:    24 | step:   135 | loss: 0.166 | iou: 0.339
layer:    24 | step:   136 | loss: 0.243 | iou: 0.322
layer:    24 | step:   137 | loss: 0.184 | iou: 0.302
layer:    24 | step:   138 | loss: 0.155 | iou: 0.351
layer:    24 | step:   139 | loss: 0.187 | iou: 0.335
layer:    24 | step:   140 | loss: 0.201 | iou: 0.309
layer:    24 | step:   141 | loss: 0.225 | iou: 0.277
layer:    24 | step:   142 | loss: 0.181 | iou: 0.365
layer:    24 | step:   143 | loss: 0.191 | iou: 0.302
layer:    24 | step:   144 | loss: 0.158 | iou: 0.369
layer:    24 | step:   145 | loss: 0.167 | iou: 0.408
layer:    24 | step:   146 | loss: 0.163 | iou: 0.362
layer:    24 | step:   147 | loss: 0.206 | iou: 0.299
layer:    24 | step:   148 | loss: 0.134 | iou: 0.366
layer:    24 | step:   149 | loss: 0.152 | iou: 0.378
layer:    24 | step:   150 | loss: 0.181 | iou: 0.299
layer:    24 | step:   151 | loss: 0.134 | iou: 0.430
layer:    24 | step:   152 | loss: 0.148 | iou: 0.357
layer:    24 | step:   153 | loss: 0.166 | iou: 0.392
layer:    24 | step:   154 | loss: 0.203 | iou: 0.313
layer:    24 | step:   155 | loss: 0.154 | iou: 0.370
layer:    24 | step:   156 | loss: 0.162 | iou: 0.344
layer:    24 | step:   157 | loss: 0.147 | iou: 0.371
layer:    24 | step:   158 | loss: 0.157 | iou: 0.344
layer:    24 | step:   159 | loss: 0.172 | iou: 0.316
layer:    24 | step:   160 | loss: 0.208 | iou: 0.344
layer:    24 | step:   161 | loss: 0.167 | iou: 0.383
layer:    24 | step:   162 | loss: 0.134 | iou: 0.357
layer:    24 | step:   163 | loss: 0.152 | iou: 0.362
layer:    24 | step:   164 | loss: 0.137 | iou: 0.377
layer:    24 | step:   165 | loss: 0.152 | iou: 0.384
layer:    24 | step:   166 | loss: 0.154 | iou: 0.421
layer:    24 | step:   167 | loss: 0.167 | iou: 0.359
layer:    24 | step:   168 | loss: 0.180 | iou: 0.327
layer:    24 | step:   169 | loss: 0.168 | iou: 0.380
layer:    24 | step:   170 | loss: 0.159 | iou: 0.425
layer:    24 | step:   171 | loss: 0.154 | iou: 0.372
layer:    24 | step:   172 | loss: 0.144 | iou: 0.367
layer:    24 | step:   173 | loss: 0.195 | iou: 0.325
layer:    24 | step:   174 | loss: 0.169 | iou: 0.356
layer:    24 | step:   175 | loss: 0.167 | iou: 0.332
layer:    24 | step:   176 | loss: 0.192 | iou: 0.329
layer:    24 | step:   177 | loss: 0.172 | iou: 0.359
layer:    24 | step:   178 | loss: 0.208 | iou: 0.321
layer:    24 | step:   179 | loss: 0.149 | iou: 0.342
layer:    24 | step:   180 | loss: 0.156 | iou: 0.358
layer:    24 | step:   181 | loss: 0.145 | iou: 0.349
layer:    24 | step:   182 | loss: 0.171 | iou: 0.309
layer:    24 | step:   183 | loss: 0.123 | iou: 0.384
layer:    24 | step:   184 | loss: 0.166 | iou: 0.360
layer:    24 | step:   185 | loss: 0.187 | iou: 0.325
layer:    24 | step:   186 | loss: 0.149 | iou: 0.389
layer:    24 | step:   187 | loss: 0.183 | iou: 0.335
layer:    24 | step:   188 | loss: 0.181 | iou: 0.332
layer:    24 | step:   189 | loss: 0.214 | iou: 0.346
layer:    24 | step:   190 | loss: 0.204 | iou: 0.341
layer:    24 | step:   191 | loss: 0.212 | iou: 0.313
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 8/8 [00:41<00:00,  5.21s/it]
layer:    24 | step:   192 | loss: 0.133 | iou: 0.409
layer:    24 | step:   193 | loss: 0.150 | iou: 0.353
layer:    24 | step:   194 | loss: 0.159 | iou: 0.343
layer:    24 | step:   195 | loss: 0.133 | iou: 0.419
layer:    24 | step:   196 | loss: 0.150 | iou: 0.401
layer:    24 | step:   197 | loss: 0.111 | iou: 0.399
layer:    24 | step:   198 | loss: 0.215 | iou: 0.317
layer:    24 | step:   199 | loss: 0.163 | iou: 0.356
layer:    24 | step:   200 | loss: 0.135 | iou: 0.441
layer:    24 | step:   201 | loss: 0.148 | iou: 0.412
layer:    24 | step:   202 | loss: 0.198 | iou: 0.327
layer:    24 | step:   203 | loss: 0.173 | iou: 0.315
layer:    24 | step:   204 | loss: 0.154 | iou: 0.364
layer:    24 | step:   205 | loss: 0.155 | iou: 0.341
layer:    24 | step:   206 | loss: 0.147 | iou: 0.394
layer:    24 | step:   207 | loss: 0.186 | iou: 0.309
layer:    24 | step:   208 | loss: 0.143 | iou: 0.395
layer:    24 | step:   209 | loss: 0.143 | iou: 0.356
layer:    24 | step:   210 | loss: 0.145 | iou: 0.424
layer:    24 | step:   211 | loss: 0.152 | iou: 0.343
layer:    24 | step:   212 | loss: 0.177 | iou: 0.353
layer:    24 | step:   213 | loss: 0.160 | iou: 0.355
layer:    24 | step:   214 | loss: 0.129 | iou: 0.405
layer:    24 | step:   215 | loss: 0.195 | iou: 0.321
layer:    24 | step:   216 | loss: 0.137 | iou: 0.352
layer:    24 | step:   217 | loss: 0.170 | iou: 0.368
layer:    24 | step:   218 | loss: 0.170 | iou: 0.346
layer:    24 | step:   219 | loss: 0.144 | iou: 0.358
layer:    24 | step:   220 | loss: 0.133 | iou: 0.417
layer:    24 | step:   221 | loss: 0.185 | iou: 0.311
layer:    24 | step:   222 | loss: 0.132 | iou: 0.398
layer:    24 | step:   223 | loss: 0.141 | iou: 0.405
layer:    24 | step:   224 | loss: 0.144 | iou: 0.379
layer:    24 | step:   225 | loss: 0.122 | iou: 0.397
layer:    24 | step:   226 | loss: 0.130 | iou: 0.350
layer:    24 | step:   227 | loss: 0.160 | iou: 0.340
layer:    24 | step:   228 | loss: 0.127 | iou: 0.399
layer:    24 | step:   229 | loss: 0.163 | iou: 0.344
layer:    24 | step:   230 | loss: 0.131 | iou: 0.414
layer:    24 | step:   231 | loss: 0.138 | iou: 0.399
layer:    24 | step:   232 | loss: 0.147 | iou: 0.382
layer:    24 | step:   233 | loss: 0.109 | iou: 0.438
layer:    24 | step:   234 | loss: 0.188 | iou: 0.385
layer:    24 | step:   235 | loss: 0.136 | iou: 0.400
layer:    24 | step:   236 | loss: 0.131 | iou: 0.386
layer:    24 | step:   237 | loss: 0.115 | iou: 0.435
layer:    24 | step:   238 | loss: 0.194 | iou: 0.317
layer:    24 | step:   239 | loss: 0.106 | iou: 0.421
layer:    24 | step:   240 | loss: 0.143 | iou: 0.391
layer:    24 | step:   241 | loss: 0.112 | iou: 0.340
layer:    24 | step:   242 | loss: 0.132 | iou: 0.374
layer:    24 | step:   243 | loss: 0.127 | iou: 0.411
layer:    24 | step:   244 | loss: 0.154 | iou: 0.379
layer:    24 | step:   245 | loss: 0.126 | iou: 0.420
layer:    24 | step:   246 | loss: 0.122 | iou: 0.382
layer:    24 | step:   247 | loss: 0.147 | iou: 0.366
layer:    24 | step:   248 | loss: 0.211 | iou: 0.344
layer:    24 | step:   249 | loss: 0.138 | iou: 0.365
layer:    24 | step:   250 | loss: 0.156 | iou: 0.354
layer:    24 | step:   251 | loss: 0.138 | iou: 0.368
layer:    24 | step:   252 | loss: 0.117 | iou: 0.401
layer:    24 | step:   253 | loss: 0.139 | iou: 0.390
layer:    24 | step:   254 | loss: 0.146 | iou: 0.392
layer:    24 | step:   255 | loss: 0.127 | iou: 0.382
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 8/8 [00:41<00:00,  5.16s/it]
layer:    24 | step:   256 | loss: 0.172 | iou: 0.330
layer:    24 | step:   257 | loss: 0.150 | iou: 0.336
layer:    24 | step:   258 | loss: 0.141 | iou: 0.398
layer:    24 | step:   259 | loss: 0.177 | iou: 0.349
layer:    24 | step:   260 | loss: 0.102 | iou: 0.417
layer:    24 | step:   261 | loss: 0.117 | iou: 0.460
layer:    24 | step:   262 | loss: 0.226 | iou: 0.333
layer:    24 | step:   263 | loss: 0.120 | iou: 0.378
layer:    24 | step:   264 | loss: 0.146 | iou: 0.386
layer:    24 | step:   265 | loss: 0.137 | iou: 0.432
layer:    24 | step:   266 | loss: 0.182 | iou: 0.333
layer:    24 | step:   267 | loss: 0.167 | iou: 0.333
layer:    24 | step:   268 | loss: 0.167 | iou: 0.359
layer:    24 | step:   269 | loss: 0.127 | iou: 0.419
layer:    24 | step:   270 | loss: 0.144 | iou: 0.375
layer:    24 | step:   271 | loss: 0.166 | iou: 0.339
layer:    24 | step:   272 | loss: 0.157 | iou: 0.349
layer:    24 | step:   273 | loss: 0.126 | iou: 0.441
layer:    24 | step:   274 | loss: 0.150 | iou: 0.357
layer:    24 | step:   275 | loss: 0.176 | iou: 0.379
layer:    24 | step:   276 | loss: 0.137 | iou: 0.336
layer:    24 | step:   277 | loss: 0.131 | iou: 0.392
layer:    24 | step:   278 | loss: 0.151 | iou: 0.371
layer:    24 | step:   279 | loss: 0.139 | iou: 0.409
layer:    24 | step:   280 | loss: 0.153 | iou: 0.374
layer:    24 | step:   281 | loss: 0.126 | iou: 0.409
layer:    24 | step:   282 | loss: 0.109 | iou: 0.435
layer:    24 | step:   283 | loss: 0.162 | iou: 0.339
layer:    24 | step:   284 | loss: 0.113 | iou: 0.436
layer:    24 | step:   285 | loss: 0.137 | iou: 0.404
layer:    24 | step:   286 | loss: 0.140 | iou: 0.387
layer:    24 | step:   287 | loss: 0.186 | iou: 0.342
layer:    24 | step:   288 | loss: 0.182 | iou: 0.351
layer:    24 | step:   289 | loss: 0.188 | iou: 0.347
layer:    24 | step:   290 | loss: 0.137 | iou: 0.391
layer:    24 | step:   291 | loss: 0.132 | iou: 0.419
layer:    24 | step:   292 | loss: 0.136 | iou: 0.417
layer:    24 | step:   293 | loss: 0.175 | iou: 0.356
layer:    24 | step:   294 | loss: 0.127 | iou: 0.422
layer:    24 | step:   295 | loss: 0.167 | iou: 0.358
layer:    24 | step:   296 | loss: 0.134 | iou: 0.370
layer:    24 | step:   297 | loss: 0.159 | iou: 0.411
layer:    24 | step:   298 | loss: 0.123 | iou: 0.441
layer:    24 | step:   299 | loss: 0.154 | iou: 0.362
layer:    24 | step:   300 | loss: 0.161 | iou: 0.392
layer:    24 | step:   301 | loss: 0.146 | iou: 0.370
layer:    24 | step:   302 | loss: 0.109 | iou: 0.416
layer:    24 | step:   303 | loss: 0.137 | iou: 0.403
layer:    24 | step:   304 | loss: 0.108 | iou: 0.451
layer:    24 | step:   305 | loss: 0.147 | iou: 0.365
layer:    24 | step:   306 | loss: 0.140 | iou: 0.389
layer:    24 | step:   307 | loss: 0.164 | iou: 0.362
layer:    24 | step:   308 | loss: 0.151 | iou: 0.354
layer:    24 | step:   309 | loss: 0.121 | iou: 0.409
layer:    24 | step:   310 | loss: 0.112 | iou: 0.450
layer:    24 | step:   311 | loss: 0.114 | iou: 0.440
layer:    24 | step:   312 | loss: 0.135 | iou: 0.469
layer:    24 | step:   313 | loss: 0.138 | iou: 0.405
layer:    24 | step:   314 | loss: 0.142 | iou: 0.386
layer:    24 | step:   315 | loss: 0.128 | iou: 0.435
layer:    24 | step:   316 | loss: 0.201 | iou: 0.327
layer:    24 | step:   317 | loss: 0.140 | iou: 0.356
layer:    24 | step:   318 | loss: 0.103 | iou: 0.423
layer:    24 | step:   319 | loss: 0.114 | iou: 0.401
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 8/8 [00:41<00:00,  5.18s/it]
layer:    24 | step:   320 | loss: 0.122 | iou: 0.456
layer:    24 | step:   321 | loss: 0.104 | iou: 0.453
layer:    24 | step:   322 | loss: 0.125 | iou: 0.375
layer:    24 | step:   323 | loss: 0.181 | iou: 0.387
layer:    24 | step:   324 | loss: 0.122 | iou: 0.392
layer:    24 | step:   325 | loss: 0.131 | iou: 0.425
layer:    24 | step:   326 | loss: 0.110 | iou: 0.465
layer:    24 | step:   327 | loss: 0.138 | iou: 0.393
